"Code","Symbol","Industry","Board"
"ACG1V.HE","Aspocomp Group Oyj","Unknown","HEL"
"AFAGR.HE","Afarak Group Oyj","Unknown","HEL"
"AFE1V.HE","Affecto Oyj","Unknown","HEL"
"AHL1V.HE","Ahlstrom Corporation","Unknown","HEL"
"AKTAV.HE","Aktia Bank Plc A","Unknown","HEL"
"AKTRV.HE","Aktia Bank Plc R","Unknown","HEL"
"ALBAV.HE","Alandsbanken Abp","Unknown","HEL"
"ALBBV.HE","Alandsbanken Abp","Unknown","HEL"
"ALD1V.HE","SymphonyEYC Finland Oy","Unknown","HEL"
"ALN1V.HE","Alma Media Oyj","Unknown","HEL"
"AMEAS.HE","Amer Sports Oyj","Unknown","HEL"
"APETI.HE","Apetit Oyj","Unknown","HEL"
"ASPO.HE","Aspo Oyj","Unknown","HEL"
"ATG1V.HE","Asiakastieto Group Plc","Unknown","HEL"
"ATRAV.HE","Atria Oyj","Unknown","HEL"
"BAS1V.HE","Basware Oyj","Unknown","HEL"
"BIOBV.HE","Biohit Oyj","Unknown","HEL"
"BITTI.HE","Bittium Oyj","Unknown","HEL"
"BTH1V.HE","Biotie Therapies Corp","Unknown","HEL"
"BTH1VN0112.HE","Biotie Therapies Oyj. New Shares 2012","Unknown","HEL"
"CAV1V.HE","Caverion Oyj","Unknown","HEL"
"CGCBV.HE","Cargotec Oyj","Unknown","HEL"
"CNC1VN0113.HE","Cencorp New Shares","Unknown","HEL"
"CONSTI.HE","Consti Yhtiot Oyj","Unknown","HEL"
"CPMBV.HE","CapMan Oyj","Unknown","HEL"
"CRA1V.HE","Cramo Oyj","Unknown","HEL"
"CTH1V.HE","Componenta Oyj","Unknown","HEL"
"CTL1V.HE","Comptel Oyj","Unknown","HEL"
"CTY1S.HE","Citycon Oyj","Unknown","HEL"
"CTY1SN0112.HE","Citycon Oyj New shares 2012","Unknown","HEL"
"CTY1SN0113.HE","Citycon Oyj New Shares 2013","Unknown","HEL"
"CTY1SN0114.HE","Citycon Oyj New Shares 2014","Unknown","HEL"
"CTY1SN0115.HE","Citycon Oyj New Shares 2015","Unknown","HEL"
"DIG1V.HE","Digia Oyj","Unknown","HEL"
"DOV1V.HE","Dovre Group Oyj","Unknown","HEL"
"EFO1V.HE","Efore Oyj","Unknown","HEL"
"ELEAV.HE","Elecster Oyj","Unknown","HEL"
"ELISA.HE","Elisa Oyj","Unknown","HEL"
"EMAETF-NIF.HE","Nordea Global EM Equities UCITS ETF","Unknown","HEL"
"ENDOM.HE","Endomines AB","Unknown","HEL"
"EQV1V.HE","eQ Oyj","Unknown","HEL"
"ERIBR.HE","Ericsson, Telefonab. L M ser. B","Unknown","HEL"
"ETT1V.HE","Etteplan Oyj","Unknown","HEL"
"ETT1VN0116.HE","Etteplan Oyj New Shares 2016","Unknown","HEL"
"EVLI.HE","Evli Pankki Oyj","Unknown","HEL"
"EXL1V.HE","Exel Composites Oyj","Unknown","HEL"
"FIA1S.HE","Finnair Oyj","Unknown","HEL"
"FIS1V.HE","Fiskars Oyj Abp","Unknown","HEL"
"FLG1S.HE","Finnlines Oyj","Unknown","HEL"
"FSC1V.HE","F-Secure Oyj","Unknown","HEL"
"FUM1V.HE","Fortum Oyj","Unknown","HEL"
"GEO1V.HE","GeoSentric Oyj","Unknown","HEL"
"GLA1V.HE","Glaston Oyj Abp","Unknown","HEL"
"HKSAV.HE","HKScan Corporation","Unknown","HEL"
"HONBS.HE","Honkarakenne Oyj","Unknown","HEL"
"HRTIS.HE","Herantis Pharma Oyj","Unknown","HEL"
"HUH1V.HE","Huhtamaki Oyj","Unknown","HEL"
"ICP1V.HE","Incap Oyj","Unknown","HEL"
"ICP1VN0115.HE","Incap Oyj New Shares 2015","Unknown","HEL"
"IFA1V.HE","Innofactor Oyj","Unknown","HEL"
"ILK1S.HE","Ilkka Yhtyma Oyj","Unknown","HEL"
"ILK2S.HE","Ilkka Yhtyma Oyj","Unknown","HEL"
